Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,0,full_name,gid
Conway Police Dept,AR,12,60700.0,252.0,1,29.0,76,146,2539.0,410,2028.0,101.0,415.2,1.6,47.8,125.2,240.5,4182.9,675.5,3341.0,166.4,conway,"conway,AR",05000US05029
Crawford County Sheriff Department,AR,12,,100.0,0,5.0,0,95,396.0,122,247.0,27.0,,,,,,,,,,crawford county,"crawford county,AR",05000US05033
Faulkner County Sheriff Department,AR,5,,33.0,0,14.0,1,18,394.0,127,228.0,39.0,,,,,,,,,,faulkner county,"faulkner county,AR",05000US05045
Independence County Sheriff Department,AR,12,,207.0,0,21.0,16,170,1537.0,598,818.0,121.0,,,,,,,,,,independence county,"independence county,AR",05000US05063
Lonoke County Sheriff Department,AR,10,,78.0,0,12.0,2,64,502.0,164,283.0,55.0,,,,,,,,,,lonoke county,"lonoke county,AR",05000US05085
Pope County Sheriff Department,AR,12,,51.0,1,7.0,0,43,457.0,149,270.0,38.0,,,,,,,,,,pope county,"pope county,AR",05000US05115
Pulaski County Sheriff Department,AR,12,,311.0,5,8.0,19,279,2068.0,809,1057.0,202.0,,,,,,,,,,pulaski county,"pulaski county,AR",05000US05119
Sebastian County Sheriff Department,AR,12,,56.0,1,6.0,2,47,340.0,148,178.0,14.0,,,,,,,,,,sebastian county,"sebastian county,AR",05000US05131
Washington County Sheriff Department,AR,12,,187.0,4,14.0,0,169,610.0,220,344.0,46.0,,,,,,,,,,washington county,"washington county,AR",05000US05143
White County Sheriff Department,AR,12,,46.0,1,7.0,3,35,1087.0,451,511.0,125.0,,,,,,,,,,white county,"white county,AR",05000US05145
Butte County Sheriff Department,CA,12,,126.0,8,8.0,16,94,1165.0,481,676.0,8.0,,,,,,,,,,butte county,"butte county,CA",05000US06007
Calaveras County Sheriff Department,CA,12,,87.0,0,17.0,6,64,973.0,348,618.0,7.0,,,,,,,,,,calaveras county,"calaveras county,CA",05000US06009
