Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,0,full_name,gid
Gulf Shores Police Dept,AL,12,10022.0,46.0,0,3.0,7,36,761.0,133,603.0,25.0,459.0,0.0,29.9,69.8,359.2,7593.3,1327.1,6016.8,249.5,gulf shores,"gulf shores,AL",04000US01
Hartselle Police Dept,AL,12,14380.0,21.0,0,2.0,3,16,400.0,78,306.0,16.0,146.0,0.0,13.9,20.9,111.3,2781.6,542.4,2128.0,111.3,hartselle,"hartselle,AL",04000US01
Helena Police Dept,AL,12,17076.0,11.0,0,1.0,1,9,174.0,24,140.0,10.0,64.4,0.0,5.9,5.9,52.7,1019.0,140.5,819.9,58.6,helena,"helena,AL",04000US01
Homewood Police Dept,AL,11,25284.0,50.0,0,4.0,23,23,1095.0,188,860.0,47.0,,,,,,,,,,homewood,"homewood,AL",04000US01
Hoover Police Dept,AL,12,82332.0,86.0,2,13.0,46,25,2180.0,393,1702.0,85.0,104.5,2.4,15.8,55.9,30.4,2647.8,477.3,2067.2,103.2,hoover,"hoover,AL",04000US01
Houston County Sheriff Department,AL,12,,92.0,2,12.0,9,69,625.0,177,403.0,45.0,,,,,,,,,,houston county,"houston county,AL",05000US01069
Hueytown Police Dept,AL,12,16181.0,43.0,2,5.0,10,26,637.0,136,485.0,16.0,265.7,12.4,30.9,61.8,160.7,3936.7,840.5,2997.3,98.9,hueytown,"hueytown,AL",04000US01
Huntsville Police Dept,AL,12,183691.0,1696.0,14,72.0,456,1154,9261.0,2165,6386.0,710.0,923.3,7.6,39.2,248.2,628.2,5041.6,1178.6,3476.5,386.5,huntsville,"huntsville,AL",04000US01
Irondale Police Dept,AL,12,12407.0,53.0,0,4.0,19,30,500.0,122,346.0,32.0,427.2,0.0,32.2,153.1,241.8,4030.0,983.3,2788.7,257.9,irondale,"irondale,AL",04000US01
Jackson County Sheriff Department,AL,12,,107.0,0,9.0,1,97,707.0,306,337.0,64.0,,,,,,,,,,jackson county,"jackson county,AL",05000US01071
Jacksonville Police Dept,AL,12,12532.0,43.0,0,1.0,11,31,484.0,138,327.0,19.0,343.1,0.0,8.0,87.8,247.4,3862.1,1101.2,2609.3,151.6,jacksonville,"jacksonville,AL",04000US01
Jasper Police Dept,AL,12,14365.0,123.0,0,8.0,40,75,1141.0,242,855.0,44.0,856.2,0.0,55.7,278.5,522.1,7942.9,1684.7,5952.0,306.3,jasper,"jasper,AL",04000US01
Jefferson County Sheriff Department,AL,12,,676.0,4,49.0,196,427,3670.0,2035,1550.0,85.0,,,,,,,,,,jefferson county,"jefferson county,AL",05000US01073
Lauderdale County Sheriff Department,AL,12,,59.0,1,5.0,5,48,371.0,118,225.0,28.0,,,,,,,,,,lauderdale county,"lauderdale county,AL",05000US01077
Lawrence County Sheriff Department,AL,12,,83.0,0,4.0,3,76,479.0,169,273.0,37.0,,,,,,,,,,lawrence county,"lawrence county,AL",05000US01079
Lee County Sheriff Department,AL,7,,1.0,0,0.0,0,1,74.0,10,64.0,0.0,,,,,,,,,,lee county,"lee county,AL",05000US01081
Leeds Police Dept,AL,12,11844.0,58.0,1,3.0,20,34,422.0,66,333.0,23.0,489.7,8.4,25.3,168.9,287.1,3563.0,557.2,2811.6,194.2,leeds,"leeds,AL",04000US01
Limestone County Sheriff Department,AL,12,,79.0,3,0.0,4,72,544.0,185,331.0,28.0,,,,,,,,,,limestone county,"limestone county,AL",05000US01083
Madison County Sheriff Department,AL,12,,286.0,4,30.0,45,207,2185.0,795,1232.0,158.0,,,,,,,,,,madison county,"madison county,AL",05000US01089
Madison Police Dept,AL,12,43860.0,90.0,0,4.0,20,66,1068.0,219,805.0,44.0,205.2,0.0,9.1,45.6,150.5,2435.0,499.3,1835.4,100.3,madison,"madison,AL",05000US01089
Marshall County Sheriff Department,AL,12,,62.0,1,10.0,5,46,708.0,315,357.0,36.0,,,,,,,,,,marshall county,"marshall county,AL",05000US01095
Millbrook Police Dept,AL,12,14868.0,81.0,0,8.0,19,54,608.0,175,415.0,18.0,544.8,0.0,53.8,127.8,363.2,4089.3,1177.0,2791.2,121.1,millbrook,"millbrook,AL",04000US01
Mobile County Sheriff Department,AL,12,,231.0,6,23.0,30,172,2356.0,801,1386.0,169.0,,,,,,,,,,mobile county,"mobile county,AL",05000US01097
Mobile Police Dept,AL,12,251516.0,1314.0,32,45.0,460,777,12103.0,2796,8755.0,552.0,522.4,12.7,17.9,182.9,308.9,4812.0,1111.7,3480.9,219.5,mobile,"mobile,AL",05000US01097
Montgomery Police Dept,AL,12,209018.0,827.0,44,41.0,459,283,12058.0,3409,7548.0,1101.0,395.7,21.1,19.6,219.6,135.4,5768.9,1631.0,3611.2,526.7,montgomery,"montgomery,AL",05000US01101
Moody Police Dept,AL,12,11889.0,18.0,1,0.0,2,15,179.0,34,134.0,11.0,151.4,8.4,0.0,16.8,126.2,1505.6,286.0,1127.1,92.5,moody,"moody,AL",04000US01
Morgan County Sheriff Department,AL,10,,27.0,0,3.0,2,22,320.0,148,163.0,9.0,,,,,,,,,,morgan county,"morgan county,AL",05000US01103
Mountain Brook Police Dept,AL,12,20511.0,8.0,0,0.0,3,5,303.0,72,225.0,6.0,39.0,0.0,0.0,14.6,24.4,1477.3,351.0,1097.0,29.3,mountain brook,"mountain brook,AL",04000US01
Muscle Shoals Police Dept,AL,12,13228.0,76.0,0,4.0,16,56,647.0,148,473.0,26.0,574.5,0.0,30.2,121.0,423.3,4891.1,1118.8,3575.7,196.6,muscle shoals,"muscle shoals,AL",04000US01
Northport Police Dept,AL,12,23742.0,135.0,2,3.0,24,106,821.0,222,565.0,34.0,568.6,8.4,12.6,101.1,446.5,3458.0,935.1,2379.7,143.2,northport,"northport,AL",04000US01
Opelika Police Dept,AL,12,27201.0,207.0,5,11.0,43,148,1681.0,428,1204.0,49.0,761.0,18.4,40.4,158.1,544.1,6179.9,1573.5,4426.3,180.1,opelika,"opelika,AL",04000US01
Oxford Police Dept,AL,12,21306.0,76.0,1,9.0,28,38,1250.0,222,982.0,46.0,356.7,4.7,42.2,131.4,178.4,5866.9,1042.0,4609.0,215.9,oxford,"oxford,AL",04000US01
Ozark Police Dept,AL,12,14908.0,103.0,0,2.0,21,80,793.0,173,590.0,30.0,690.9,0.0,13.4,140.9,536.6,5319.3,1160.5,3957.6,201.2,ozark,"ozark,AL",04000US01
Pelham Police Dept,AL,12,21756.0,36.0,2,7.0,8,19,471.0,50,402.0,19.0,165.5,9.2,32.2,36.8,87.3,2164.9,229.8,1847.8,87.3,pelham,"pelham,AL",04000US01
Pell City Police Dept,AL,12,12863.0,61.0,1,4.0,9,47,523.0,74,420.0,29.0,474.2,7.8,31.1,70.0,365.4,4065.9,575.3,3265.2,225.5,pell city,"pell city,AL",04000US01
Phenix Police Dept,AL,12,33940.0,248.0,2,17.0,71,158,2284.0,696,1377.0,211.0,730.7,5.9,50.1,209.2,465.5,6729.5,2050.7,4057.2,621.7,phenix,"phenix,AL",04000US01
Pleasant Grove Police Dept,AL,12,10158.0,17.0,0,2.0,0,15,150.0,53,92.0,5.0,167.4,0.0,19.7,0.0,147.7,1476.7,521.8,905.7,49.2,pleasant grove,"pleasant grove,AL",04000US01
Prattville Police Dept,AL,12,34525.0,60.0,3,6.0,31,20,1317.0,274,990.0,53.0,173.8,8.7,17.4,89.8,57.9,3814.6,793.6,2867.5,153.5,prattville,"prattville,AL",04000US01
Prichard Police Dept,AL,12,22728.0,527.0,6,13.0,143,365,1444.0,494,757.0,193.0,2318.7,26.4,57.2,629.2,1605.9,6353.4,2173.5,3330.7,849.2,prichard,"prichard,AL",04000US01
