county,county_fips,place,place_fips,state_fips,Unnamed: 0,Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,Extracted Name,name
,,,,49,10510,West Tawakoni Police Dept,UT,12,1608.0,0.0,0,0.0,0,0,21.0,12,6.0,3,0.0,0.0,0.0,0.0,0.0,1306.0,746.3,373.1,186.6,west tawakoni,"west tawakoni, ut"
,,,,49,10511,West University Place Police Dept,UT,12,15335.0,13.0,0,0.0,11,2,209.0,127,73.0,9,84.8,0.0,0.0,71.7,13.0,1362.9,828.2,476.0,58.7,west university place,"west university place, ut"
,,,,49,10512,Westover Hills Police Dept,UT,12,709.0,0.0,0,0.0,0,0,9.0,4,5.0,0,0.0,0.0,0.0,0.0,0.0,1269.4,564.2,705.2,0.0,westover hills,"westover hills, ut"
,,,,49,10513,Westworth Village Police Dept,UT,12,2567.0,5.0,0,0.0,1,4,73.0,27,45.0,1,194.8,0.0,0.0,39.0,155.8,2843.8,1051.8,1753.0,39.0,westworth village,"westworth village, ut"
,,,,49,10514,Wharton County Sheriff Department,UT,12,,61.0,0,0.0,7,54,323.0,138,170.0,15,,,,,,,,,,wharton county,"wharton county, ut"
,,,,49,10515,Wharton Police Dept,UT,12,8971.0,67.0,0,6.0,12,49,490.0,85,391.0,14,746.9,0.0,66.9,133.8,546.2,5462.0,947.5,4358.5,156.1,wharton,"wharton, ut"
,,,,49,10516,Wheeler County Sheriff Department,UT,12,,10.0,0,1.0,0,9,72.0,10,61.0,1,,,,,,,,,,wheeler county,"wheeler county, ut"
,,,,49,10517,White Oak Police Dept,UT,12,6642.0,11.0,0,8.0,0,3,126.0,36,71.0,19,165.6,0.0,120.4,0.0,45.2,1897.0,542.0,1069.0,286.1,white oak,"white oak, ut"
,,,,49,10518,White Settlement Police Dept,UT,12,16716.0,30.0,0,0.0,16,14,434.0,123,277.0,34,179.5,0.0,0.0,95.7,83.8,2596.3,735.8,1657.1,203.4,white settlement,"white settlement, ut"
,,,,49,10519,Whitehouse Police Dept,UT,12,7913.0,8.0,0,2.0,1,5,78.0,22,53.0,3,101.1,0.0,25.3,12.6,63.2,985.7,278.0,669.8,37.9,whitehouse,"whitehouse, ut"
,,,,49,10520,Whitesboro Police Dept,UT,12,3868.0,6.0,0,3.0,1,2,81.0,14,61.0,6,155.1,0.0,77.6,25.9,51.7,2094.1,361.9,1577.0,155.1,whitesboro,"whitesboro, ut"
,,,,49,10521,Whitewright Police Dept,UT,12,1634.0,6.0,0,0.0,0,6,36.0,15,17.0,4,367.2,0.0,0.0,0.0,367.2,2203.2,918.0,1040.4,244.8,whitewright,"whitewright, ut"
,,,,49,10522,Whitney Police Dept,UT,12,2137.0,1.0,0,0.0,0,1,94.0,13,80.0,1,46.8,0.0,0.0,0.0,46.8,4398.7,608.3,3743.6,46.8,whitney,"whitney, ut"
,,,,49,10523,Wichita County Sheriff Department,UT,12,,37.0,0,2.0,3,32,146.0,57,82.0,7,,,,,,,,,,wichita county,"wichita county, ut"
,,,,49,10524,Wichita Falls Police Dept,UT,12,105488.0,475.0,5,36.0,150,284,5021.0,1259,3532.0,230,450.3,4.7,34.1,142.2,269.2,4759.8,1193.5,3348.2,218.0,wichita falls,"wichita falls, ut"
,,,,49,10525,Wilbarger County Sheriff Office,UT,12,,2.0,0,0.0,0,2,39.0,17,21.0,1,,,,,,,,,,wilbarger county,"wilbarger county, ut"
,,,,49,10526,Willacy County Sheriff Department,UT,12,,47.0,0,9.0,1,37,262.0,97,156.0,9,,,,,,,,,,willacy county,"willacy county, ut"
,,,,49,10527,Williamson County Sheriff Department,UT,12,,114.0,2,23.0,9,80,1147.0,292,819.0,36,,,,,,,,,,williamson county,"williamson county, ut"
,,,,49,10528,Willis City Police Dept,UT,12,6079.0,20.0,0,1.0,6,13,182.0,53,123.0,6,329.0,0.0,16.5,98.7,213.9,2993.9,871.9,2023.4,98.7,willis city,"willis city, ut"
,,,,49,10529,Willow Park City Police Dept,UT,12,4093.0,1.0,0,1.0,0,0,33.0,7,26.0,0,24.4,0.0,24.4,0.0,0.0,806.3,171.0,635.2,0.0,willow park city,"willow park city, ut"
,,,,49,10530,Wills Point City Police Dept,UT,12,3588.0,9.0,0,0.0,0,9,46.0,17,29.0,0,250.8,0.0,0.0,0.0,250.8,1282.1,473.8,808.2,0.0,wills point city,"wills point city, ut"
,,,,49,10531,Wilmer Police Dept,UT,12,3805.0,5.0,0,0.0,1,4,102.0,42,56.0,4,131.4,0.0,0.0,26.3,105.1,2680.7,1103.8,1471.7,105.1,wilmer,"wilmer, ut"
,,,,49,10532,Wilson County Sheriff Department,UT,12,,28.0,3,4.0,1,20,284.0,105,151.0,28,,,,,,,,,,wilson county,"wilson county, ut"
,,,,49,10533,Windcrest Police Dept,UT,12,5575.0,6.0,1,0.0,3,2,392.0,38,332.0,22,107.6,17.9,0.0,53.8,35.9,7031.4,681.6,5955.2,394.6,windcrest,"windcrest, ut"
,,,,49,10534,Wink Police Dept,UT,12,962.0,0.0,0,0.0,0,0,2.0,0,2.0,0,0.0,0.0,0.0,0.0,0.0,207.9,0.0,207.9,0.0,wink,"wink, ut"
,,,,49,10535,Winkler County Sheriff Office,UT,12,,3.0,0,0.0,0,3,24.0,5,17.0,2,,,,,,,,,,winkler county,"winkler county, ut"
