county,county_fips,place,place_fips,state_fips,Unnamed: 0,Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,Extracted Name,name
,,cross city town,15575,12,79,Cross City Police Dept,FL,12,1759.0,7.0,0,0.0,0,7,36.0,10,26.0,0,398.0,0.0,0.0,0.0,398.0,2046.6,568.5,1478.1,0.0,cross city,"cross city, fl"
,,dade city city,16125,12,80,Dade City Police Dept,FL,12,6549.0,60.0,1,5.0,10,44,338.0,80,246.0,12,916.2,15.3,76.3,152.7,671.9,5161.1,1221.6,3756.3,183.2,dade city,"dade city, fl"
,,,,12,81,Dagsboro Police Dept,FL,12,822.0,0.0,0,0.0,0,0,24.0,5,17.0,2,0.0,0.0,0.0,0.0,0.0,2919.7,608.3,2068.1,243.3,dagsboro,"dagsboro, fl"
,,,,12,82,Danbury Police Dept,FL,12,81891.0,109.0,1,23.0,45,40,1562.0,287,1201.0,74,133.1,1.2,28.1,55.0,48.8,1907.4,350.5,1466.6,90.4,danbury,"danbury, fl"
,,,,12,83,Dania Police Department,FL,12,30595.0,213.0,1,12.0,64,136,1494.0,300,1053.0,141,696.2,3.3,39.2,209.2,444.5,4883.2,980.6,3441.7,460.9,dania,"dania, fl"
,,,,12,84,Darien Police Dept,FL,12,20998.0,2.0,0,0.0,1,1,99.0,13,85.0,1,9.5,0.0,0.0,4.8,4.8,471.5,61.9,404.8,4.8,darien,"darien, fl"
,,davenport city,16450,12,85,Davenport Police Dept,FL,12,2971.0,3.0,0,0.0,0,3,61.0,21,36.0,4,101.0,0.0,0.0,0.0,101.0,2053.2,706.8,1211.7,134.6,davenport,"davenport, fl"
,,davie town,16475,12,86,Davie Police Dept,FL,12,94952.0,369.0,5,23.0,74,267,3473.0,667,2565.0,241,388.6,5.3,24.2,77.9,281.2,3657.6,702.5,2701.4,253.8,davie,"davie, fl"
,,daytona beach city,16525,12,87,Daytona Beach Police Dept,FL,12,61861.0,715.0,4,23.0,179,509,3869.0,799,2724.0,346,1155.8,6.5,37.2,289.4,822.8,6254.3,1291.6,4403.4,559.3,daytona beach,"daytona beach, fl"
,,daytona beach shores city,16550,12,88,Daytona Beach Shores Police Dept,FL,12,4311.0,20.0,0,0.0,2,18,187.0,46,134.0,7,463.9,0.0,0.0,46.4,417.5,4337.7,1067.0,3108.3,162.4,daytona beach shores,"daytona beach shores, fl"
,,,,12,89,Defuniak Springs Police Dept,FL,12,5320.0,53.0,1,3.0,11,38,284.0,70,207.0,7,996.2,18.8,56.4,206.8,714.3,5338.3,1315.8,3891.0,131.6,defuniak springs,"defuniak springs, fl"
,,,,12,90,Deerfield Beach Police D,FL,12,77431.0,360.0,4,17.0,149,190,2458.0,594,1680.0,184,464.9,5.2,22.0,192.4,245.4,3174.4,767.1,2169.7,237.6,deerfield beach police d,"deerfield beach police d, fl"
,,deland city,16875,12,91,Deland Police Dept,FL,12,27410.0,128.0,2,1.0,37,88,1284.0,281,954.0,49,467.0,7.3,3.6,135.0,321.1,4684.4,1025.2,3480.5,178.8,deland,"deland, fl"
,,,,12,92,Delaware City Police Dept,FL,12,1725.0,3.0,0,0.0,2,1,38.0,11,27.0,0,173.9,0.0,0.0,115.9,58.0,2202.9,637.7,1565.2,0.0,delaware city,"delaware city, fl"
,,,,12,93,Delmar Police Dept,FL,12,1648.0,10.0,0,2.0,3,5,64.0,26,37.0,1,606.8,0.0,121.4,182.0,303.4,3883.5,1577.7,2245.1,60.7,delmar,"delmar, fl"
,,delray beach city,17100,12,94,Delray Beach Police Dept,FL,12,62044.0,457.0,6,26.0,157,268,2950.0,565,2230.0,155,736.6,9.7,41.9,253.0,432.0,4754.7,910.6,3594.2,249.8,delray beach,"delray beach, fl"
,,,,12,95,Derby Police Dept,FL,12,12917.0,28.0,1,8.0,10,9,397.0,92,271.0,34,216.8,7.7,61.9,77.4,69.7,3073.5,712.2,2098.0,263.2,derby,"derby, fl"
,,,,12,96,De Soto County Sheriff Department,FL,12,,84.0,0,2.0,14,68,635.0,234,381.0,20,,,,,,,,,,de soto county,"de soto county, fl"
,,,,12,97,Dewey Beach Police Dept,FL,12,351.0,7.0,0,0.0,1,6,76.0,9,63.0,4,1994.3,0.0,0.0,284.9,1709.4,21652.4,2564.1,17948.7,1139.6,dewey beach,"dewey beach, fl"
dixie county,029,,,12,98,Dixie County Sheriff Department,FL,12,,51.0,0,5.0,5,41,397.0,203,167.0,27,,,,,,,,,,dixie county,"dixie county, fl"
,,dover cdp,18075,12,99,Dover Police Dept,FL,12,36961.0,280.0,1,13.0,61,205,2189.0,116,2008.0,65,757.6,2.7,35.2,165.0,554.6,5922.5,313.8,5432.8,175.9,dover,"dover, fl"
,,,,12,100,Dunedin Police Departmen,FL,12,35836.0,110.0,2,19.0,19,70,892.0,205,655.0,32,307.0,5.6,53.0,53.0,195.3,2489.1,572.1,1827.8,89.3,dunedin police departmen,"dunedin police departmen, fl"
,,dunnellon city,18675,12,101,Dunnellon Police Dept,FL,12,1764.0,10.0,0,0.0,3,7,24.0,22,1.0,1,566.9,0.0,0.0,170.1,396.8,1360.5,1247.2,56.7,56.7,dunnellon,"dunnellon, fl"
,,,,12,102,East Hampton Police Dept,FL,12,13024.0,5.0,1,1.0,1,2,148.0,34,109.0,5,38.4,7.7,7.7,7.7,15.4,1136.4,261.1,836.9,38.4,east hampton,"east hampton, fl"
,,,,12,103,East Hartford Police,FL,12,51431.0,192.0,2,26.0,83,81,1573.0,362,1029.0,182,373.3,3.9,50.6,161.4,157.5,3058.5,703.9,2000.7,353.9,east hartford police,"east hartford police, fl"
,,,,12,104,East Haven Police Dept,FL,12,29288.0,32.0,1,6.0,15,10,875.0,166,642.0,67,109.3,3.4,20.5,51.2,34.1,2987.6,566.8,2192.0,228.8,east haven,"east haven, fl"
,,,,12,105,East Windsor Police Dept,FL,12,11200.0,18.0,0,7.0,6,5,338.0,61,268.0,9,160.7,0.0,62.5,53.6,44.6,3017.9,544.6,2392.9,80.4,east windsor,"east windsor, fl"
,,,,12,106,Easton Police Dept,FL,12,7584.0,0.0,0,0.0,0,0,40.0,17,22.0,1,0.0,0.0,0.0,0.0,0.0,527.4,224.2,290.1,13.2,easton,"easton, fl"
,,eatonville town,19650,12,107,Eatonville Police Dept,FL,12,2229.0,32.0,1,0.0,4,27,114.0,45,61.0,8,1435.6,44.9,0.0,179.5,1211.3,5114.4,2018.8,2736.7,358.9,eatonville,"eatonville, fl"
,,edgewater city,19825,12,108,Edgewater Police Dept,FL,12,21044.0,40.0,0,2.0,11,27,526.0,138,360.0,28,190.1,0.0,9.5,52.3,128.3,2499.5,655.8,1710.7,133.1,edgewater,"edgewater, fl"
,,edgewood city,19900,12,109,Edgewood Police Dept,FL,12,2590.0,3.0,0,0.0,0,3,70.0,16,50.0,4,115.8,0.0,0.0,0.0,115.8,2702.7,617.8,1930.5,154.4,edgewood,"edgewood, fl"
,,el portal village,20650,12,110,El Portal Police Dept,FL,12,2412.0,6.0,0,0.0,3,3,82.0,38,43.0,1,248.8,0.0,0.0,124.4,124.4,3399.7,1575.5,1782.8,41.5,el portal,"el portal, fl"
,,,,12,111,Ellendale Police Dept,FL,12,390.0,0.0,0,0.0,0,0,4.0,4,0.0,0,0.0,0.0,0.0,0.0,0.0,1025.6,1025.6,0.0,0.0,ellendale,"ellendale, fl"
,,,,12,112,Elsmere Police Dept,FL,12,6240.0,64.0,0,0.0,17,47,169.0,40,117.0,12,1025.6,0.0,0.0,272.4,753.2,2708.3,641.0,1875.0,192.3,elsmere,"elsmere, fl"
,,,,12,113,Enfield Police Dept,FL,12,44806.0,30.0,0,0.0,12,18,820.0,198,591.0,31,67.0,0.0,0.0,26.8,40.2,1830.1,441.9,1319.0,69.2,enfield,"enfield, fl"
escambia county,033,,,12,114,Escambia County Sheriff Department,FL,12,,1960.0,15,132.0,412,1401,11285.0,3156,7579.0,550,,,,,,,,,,escambia county,"escambia county, fl"
,,,,12,115,Town Of Estes Park Police Dept,FL,12,6059.0,11.0,0,1.0,3,7,96.0,17,79.0,0,181.5,0.0,16.5,49.5,115.5,1584.4,280.6,1303.8,0.0,town of estes park,"town of estes park, fl"
,,eustis city,21350,12,116,Eustis Police Dept,FL,12,19062.0,50.0,1,6.0,19,24,646.0,164,466.0,16,262.3,5.2,31.5,99.7,125.9,3388.9,860.4,2444.7,83.9,eustis,"eustis, fl"
,,,,12,117,Fairfield Police Dept,FL,12,60122.0,33.0,0,2.0,13,18,1301.0,231,1000.0,70,54.9,0.0,3.3,21.6,29.9,2163.9,384.2,1663.3,116.4,fairfield,"fairfield, fl"
,,,,12,118,Farmington Police Dept,FL,12,25429.0,24.0,0,2.0,17,5,629.0,50,549.0,30,94.4,0.0,7.9,66.9,19.7,2473.6,196.6,2159.0,118.0,farmington,"farmington, fl"
,,fellsmere city,22100,12,119,Fellsmere Police Dept,FL,12,5300.0,11.0,0,0.0,4,7,105.0,33,71.0,1,207.5,0.0,0.0,75.5,132.1,1981.1,622.6,1339.6,18.9,fellsmere,"fellsmere, fl"
,,,,12,120,Felton Police Dept,FL,12,1334.0,8.0,0,0.0,0,8,28.0,4,24.0,0,599.7,0.0,0.0,0.0,599.7,2099.0,299.9,1799.1,0.0,felton,"felton, fl"
,,,,12,121,Fenwick Police Dept,FL,12,388.0,0.0,0,0.0,0,0,35.0,7,28.0,0,0.0,0.0,0.0,0.0,0.0,9020.6,1804.1,7216.5,0.0,fenwick,"fenwick, fl"
,,fernandina beach city,22175,12,122,Fernandina Beach Police Dept,FL,12,11783.0,41.0,0,4.0,8,29,333.0,74,248.0,11,348.0,0.0,33.9,67.9,246.1,2826.1,628.0,2104.7,93.4,fernandina beach,"fernandina beach, fl"
flagler county,035,,,12,123,Flagler County Sheriff Department,FL,12,,204.0,0,5.0,34,165,1680.0,362,1255.0,63,,,,,,,,,,flagler county,"flagler county, fl"
,,flagler beach city,22550,12,124,Flagler Beach Police Dept,FL,12,4625.0,9.0,1,2.0,0,6,147.0,35,108.0,4,194.6,21.6,43.2,0.0,129.7,3178.4,756.8,2335.1,86.5,flagler beach,"flagler beach, fl"
,,florida city city,22975,12,125,Florida City Police Dept,FL,12,11668.0,242.0,3,6.0,84,149,1154.0,230,860.0,64,2074.0,25.7,51.4,719.9,1277.0,9890.3,1971.2,7370.6,548.5,florida city,"florida city, fl"
,,fort lauderdale city,24000,12,126,Fort Lauderdale Police Dept,FL,12,170827.0,1543.0,16,48.0,835,644,9960.0,2951,6419.0,590,903.3,9.4,28.1,488.8,377.0,5830.5,1727.5,3757.6,345.4,fort lauderdale,"fort lauderdale, fl"
,,fort myers city,24125,12,127,Fort Myers Police Dept,FL,12,64379.0,754.0,24,26.0,172,532,2346.0,507,1639.0,200,1171.2,37.3,40.4,267.2,826.4,3644.0,787.5,2545.9,310.7,fort myers,"fort myers, fl"
,,fort pierce city,24300,12,128,Fort Pierce Police Dept,FL,12,42566.0,472.0,3,31.0,137,301,2325.0,705,1528.0,92,1108.9,7.0,72.8,321.9,707.1,5462.1,1656.3,3589.7,216.1,fort pierce,"fort pierce, fl"
,,fort walton beach city,24475,12,129,Fort Walton Beach Police Dept,FL,12,20063.0,48.0,1,4.0,7,36,772.0,143,586.0,43,239.2,5.0,19.9,34.9,179.4,3847.9,712.8,2920.8,214.3,fort walton beach,"fort walton beach, fl"
,,,,12,130,Frankford Police Dept,FL,12,871.0,2.0,0,1.0,0,1,8.0,3,5.0,0,229.6,0.0,114.8,0.0,114.8,918.5,344.4,574.1,0.0,frankford,"frankford, fl"
franklin county,037,,,12,131,Franklin County Sheriff Department,FL,12,,87.0,1,15.0,1,70,182.0,62,110.0,10,,,,,,,,,,franklin county,"franklin county, fl"
,,fruitland park city,24975,12,132,Fruitland Park  Police Dept,FL,12,4188.0,10.0,0,0.0,0,10,190.0,60,127.0,3,238.8,0.0,0.0,0.0,238.8,4536.8,1432.7,3032.5,71.6,fruitland park,"fruitland park, fl"
,,,,12,133,Gadsen County Sheriff Department,FL,12,,101.0,3,7.0,11,80,522.0,224,270.0,28,,,,,,,,,,gadsen county,"gadsen county, fl"
,,gainesville city,25175,12,134,Gainesville Police Dept,FL,12,127036.0,851.0,6,74.0,171,600,5201.0,1009,3953.0,239,669.9,4.7,58.3,134.6,472.3,4094.1,794.3,3111.7,188.1,gainesville,"gainesville, fl"
,,,,12,135,Georgetown Police Dept,FL,12,6596.0,60.0,0,4.0,23,33,308.0,67,230.0,11,909.6,0.0,60.6,348.7,500.3,4669.5,1015.8,3487.0,166.8,georgetown,"georgetown, fl"
gilchrist county,041,,,12,136,Gilchrist County Sheriff Department,FL,12,,28.0,0,0.0,0,28,208.0,79,116.0,13,,,,,,,,,,gilchrist county,"gilchrist county, fl"
glades county,043,,,12,137,Glades County Sheriff Department,FL,12,,39.0,0,3.0,1,35,192.0,72,111.0,9,,,,,,,,,,glades county,"glades county, fl"
,,,,12,138,Glastonbury Police Dept,FL,12,34547.0,22.0,0,3.0,9,10,326.0,55,258.0,13,63.7,0.0,8.7,26.1,28.9,943.6,159.2,746.8,37.6,glastonbury,"glastonbury, fl"
,,golden beach town,26250,12,139,Golden Beach Police Dept,FL,12,953.0,0.0,0,0.0,0,0,10.0,5,5.0,0,0.0,0.0,0.0,0.0,0.0,1049.3,524.7,524.7,0.0,golden beach,"golden beach, fl"
,,graceville city,27000,12,140,Graceville Police Dept,FL,12,2289.0,3.0,0,0.0,0,3,51.0,24,25.0,2,131.1,0.0,0.0,0.0,131.1,2228.0,1048.5,1092.2,87.4,graceville,"graceville, fl"
,,,,12,141,Granby Police Dept,FL,12,11321.0,2.0,0,0.0,1,1,96.0,5,91.0,0,17.7,0.0,0.0,8.8,8.8,848.0,44.2,803.8,0.0,granby,"granby, fl"
,,green cove springs city,27400,12,142,Green Cove Springs Police Dept,FL,12,7053.0,72.0,0,5.0,7,60,224.0,47,172.0,5,1020.8,0.0,70.9,99.2,850.7,3176.0,666.4,2438.7,70.9,green cove springs,"green cove springs, fl"
,,,,12,143,Green Acres Police Dept,FL,12,38528.0,234.0,0,13.0,58,163,1185.0,327,766.0,92,607.4,0.0,33.7,150.5,423.1,3075.7,848.7,1988.2,238.8,green acres,"green acres, fl"
,,,,12,144,Greenwich Police Dept,FL,12,61948.0,23.0,0,2.0,6,15,368.0,45,301.0,22,37.1,0.0,3.2,9.7,24.2,594.0,72.6,485.9,35.5,greenwich,"greenwich, fl"
,,greenwood town,27600,12,145,Greenwood Police Dept,FL,12,1001.0,4.0,0,1.0,1,2,23.0,9,13.0,1,399.6,0.0,99.9,99.9,199.8,2297.7,899.1,1298.7,99.9,greenwood,"greenwood, fl"
,,gretna city,27650,12,146,Gretna Police Dept,FL,12,1472.0,22.0,0,0.0,0,22,15.0,10,5.0,0,1494.6,0.0,0.0,0.0,1494.6,1019.0,679.3,339.7,0.0,gretna,"gretna, fl"
,,,,12,147,Groton City Police Dept,FL,12,10397.0,17.0,0,4.0,3,10,157.0,8,139.0,10,163.5,0.0,38.5,28.9,96.2,1510.1,76.9,1336.9,96.2,groton city,"groton city, fl"
,,,,12,148,Groton Long Point Police Dept,FL,12,518.0,0.0,0,0.0,0,0,14.0,3,9.0,2,0.0,0.0,0.0,0.0,0.0,2702.7,579.2,1737.5,386.1,groton long point,"groton long point, fl"
,,,,12,149,Groton Town Police Dept,FL,12,29231.0,48.0,0,8.0,8,32,610.0,72,515.0,23,164.2,0.0,27.4,27.4,109.5,2086.8,246.3,1761.8,78.7,groton town,"groton town, fl"
,,groveland city,27800,12,150,Groveland Police Dept,FL,12,8967.0,11.0,0,0.0,2,9,133.0,46,80.0,7,122.7,0.0,0.0,22.3,100.4,1483.2,513.0,892.2,78.1,groveland,"groveland, fl"
,,,,12,151,Guilford Police Dept,FL,12,22400.0,24.0,0,3.0,7,14,293.0,51,235.0,7,107.1,0.0,13.4,31.3,62.5,1308.0,227.7,1049.1,31.3,guilford,"guilford, fl"
gulf county,045,,,12,152,Gulf County Sheriff Department,FL,12,,51.0,1,3.0,3,44,226.0,110,109.0,7,,,,,,,,,,gulf county,"gulf county, fl"
,,gulf breeze city,28000,12,153,Gulf Breeze Police Dept,FL,12,5950.0,5.0,0,1.0,0,4,142.0,27,114.0,1,84.0,0.0,16.8,0.0,67.2,2386.6,453.8,1916.0,16.8,gulf breeze,"gulf breeze, fl"
,,gulf stream town,28275,12,154,Gulf Stream Police Dept,FL,12,806.0,0.0,0,0.0,0,0,24.0,5,17.0,2,0.0,0.0,0.0,0.0,0.0,2977.7,620.3,2109.2,248.1,gulf stream,"gulf stream, fl"
,,gulfport city,28175,12,155,Gulfport Police Dept,FL,12,12205.0,49.0,0,4.0,12,33,570.0,187,363.0,20,401.5,0.0,32.8,98.3,270.4,4670.2,1532.2,2974.2,163.9,gulfport,"gulfport, fl"
,,haines city city,28400,12,156,Haines City Police Dept,FL,12,21091.0,78.0,1,10.0,15,52,701.0,161,512.0,28,369.8,4.7,47.4,71.1,246.6,3323.7,763.4,2427.6,132.8,haines city,"haines city, fl"
,,,,12,157,Hallandale Police Dept,FL,12,38316.0,287.0,4,11.0,98,174,1863.0,456,1264.0,143,749.0,10.4,28.7,255.8,454.1,4862.2,1190.1,3298.9,373.2,hallandale,"hallandale, fl"
,,,,12,158,Hamden Police Dept,FL,12,61032.0,322.0,2,3.0,39,278,1382.0,196,1089.0,97,527.6,3.3,4.9,63.9,455.5,2264.4,321.1,1784.3,158.9,hamden,"hamden, fl"
,,,,12,159,Hamiliton County Sheriff Department,FL,12,,38.0,0,0.0,2,36,245.0,107,128.0,10,,,,,,,,,,hamiliton county,"hamiliton county, fl"
hardee county,049,,,12,160,Hardee County Sheriff Department,FL,12,,54.0,1,8.0,9,36,505.0,148,326.0,31,,,,,,,,,,hardee county,"hardee county, fl"
,,,,12,161,Harrington Police Dept,FL,12,3659.0,28.0,0,2.0,2,24,191.0,57,129.0,5,765.2,0.0,54.7,54.7,655.9,5220.0,1557.8,3525.6,136.6,harrington,"harrington, fl"
,,,,12,162,Hartford Police Dept,FL,12,125203.0,1655.0,23,27.0,640,965,5319.0,1050,3467.0,802,1321.9,18.4,21.6,511.2,770.7,4248.3,838.6,2769.1,640.6,hartford,"hartford, fl"
,,havana town,29150,12,163,Havana Police Dept,FL,12,1767.0,16.0,1,2.0,1,12,41.0,8,32.0,1,905.5,56.6,113.2,56.6,679.1,2320.3,452.7,1811.0,56.6,havana,"havana, fl"
hendry county,051,,,12,164,Hendry County Sheriff Department,FL,12,,201.0,0,15.0,24,162,988.0,489,452.0,47,,,,,,,,,,hendry county,"hendry county, fl"
hernando county,053,,,12,165,Hernando County Sheriff Department,FL,12,,437.0,2,40.0,49,346,4168.0,1184,2830.0,154,,,,,,,,,,hernando county,"hernando county, fl"
,,hialeah city,30000,12,166,Hialeah Police Dept,FL,12,233107.0,810.0,4,40.0,260,506,7194.0,1048,5409.0,737,347.5,1.7,17.2,111.5,217.1,3086.1,449.6,2320.4,316.2,hialeah,"hialeah, fl"
,,hialeah gardens city,30025,12,167,Hialeah Gardens Police Dept,FL,12,22561.0,28.0,0,0.0,10,18,933.0,95,782.0,56,124.1,0.0,0.0,44.3,79.8,4135.5,421.1,3466.2,248.2,hialeah gardens,"hialeah gardens, fl"
,,high springs city,30525,12,168,High Springs Police Dept,FL,12,5465.0,30.0,0,4.0,5,21,165.0,44,113.0,8,548.9,0.0,73.2,91.5,384.3,3019.2,805.1,2067.7,146.4,high springs,"high springs, fl"
,,highland beach town,30200,12,169,Highland Beach Police Dept,FL,12,3629.0,0.0,0,0.0,0,0,44.0,12,30.0,2,0.0,0.0,0.0,0.0,0.0,1212.5,330.7,826.7,55.1,highland beach,"highland beach, fl"
highlands county,055,,,12,170,Highlands County Sheriff Department,FL,12,,203.0,3,19.0,40,141,1908.0,689,1123.0,96,,,,,,,,,,highlands county,"highlands county, fl"
,,hillsboro beach town,30850,12,171,Hillsboro Beach Police Dept,FL,12,1936.0,0.0,0,0.0,0,0,31.0,9,21.0,1,0.0,0.0,0.0,0.0,0.0,1601.2,464.9,1084.7,51.7,hillsboro beach,"hillsboro beach, fl"
hillsborough county,057,,,12,172,Hillsborough County Sheriff Department,FL,12,,2152.0,28,116.0,495,1513,17903.0,4143,12707.0,1053,,,,,,,,,,hillsborough county,"hillsborough county, fl"
,,holly hill city,31350,12,173,Holly Hill Police Dept,FL,12,11822.0,66.0,1,3.0,12,50,635.0,133,433.0,69,558.3,8.5,25.4,101.5,422.9,5371.3,1125.0,3662.7,583.7,holly hill,"holly hill, fl"
,,hollywood city,32000,12,174,Hollywood Police Dept,FL,12,145313.0,643.0,5,38.0,278,322,7713.0,1958,5095.0,660,442.5,3.4,26.2,191.3,221.6,5307.9,1347.4,3506.2,454.2,hollywood,"hollywood, fl"
holmes county,059,,,12,175,Holmes County Sheriff Department,FL,12,,42.0,1,4.0,3,34,208.0,74,120.0,14,,,,,,,,,,holmes county,"holmes county, fl"
,,holmes beach city,32150,12,176,Holmes Beach Police Dept,FL,12,3941.0,9.0,0,0.0,1,8,143.0,47,95.0,1,228.4,0.0,0.0,25.4,203.0,3628.5,1192.6,2410.6,25.4,holmes beach,"holmes beach, fl"
,,,,12,177,Holyoke Police Dept,FL,12,2322.0,0.0,0,0.0,0,0,10.0,3,6.0,1,0.0,0.0,0.0,0.0,0.0,430.7,129.2,258.4,43.1,holyoke,"holyoke, fl"
,,homestead city,32275,12,178,Homestead Police Dept,FL,12,62785.0,1045.0,4,33.0,315,693,3216.0,877,2151.0,188,1664.4,6.4,52.6,501.7,1103.8,5122.2,1396.8,3426.0,299.4,homestead,"homestead, fl"
,,,,12,179,Hotchkiss Town Police Dept,FL,8,942.0,2.0,0,1.0,0,1,22.0,3,19.0,0,,,,,,,,,,hotchkiss town,"hotchkiss town, fl"
,,,,12,180,Howey In The Hills Police Dept,FL,12,1133.0,0.0,0,0.0,0,0,5.0,2,3.0,0,0.0,0.0,0.0,0.0,0.0,441.3,176.5,264.8,0.0,howey in the hills,"howey in the hills, fl"
,,,,12,181,Huerfano County Sheriff Department,FL,12,,1.0,0,0.0,0,1,16.0,3,4.0,9,,,,,,,,,,huerfano county,"huerfano county, fl"
,,,,12,182,Hugo Marshal'S Office,FL,2,739.0,1.0,0,0.0,1,0,2.0,2,0.0,0,,,,,,,,,,hugo marshal's office,"hugo marshal's office, fl"
,,hypoluxo town,33150,12,183,Hypoluxo,FL,12,2654.0,2.0,0,0.0,2,0,46.0,16,29.0,1,75.4,0.0,0.0,75.4,0.0,1733.2,602.9,1092.7,37.7,hypoluxo,"hypoluxo, fl"
,,,,12,184,Idaho Springs Police Dept,FL,12,1726.0,7.0,0,0.0,1,6,71.0,10,57.0,4,405.6,0.0,0.0,57.9,347.6,4113.6,579.4,3302.4,231.7,idaho springs,"idaho springs, fl"
,,,,12,185,Ignacio Town Police Dept,FL,12,721.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ignacio town,"ignacio town, fl"
,,indialantic town,33375,12,186,Indialantic Police Dept,FL,12,2758.0,6.0,0,0.0,2,4,64.0,8,53.0,3,217.5,0.0,0.0,72.5,145.0,2320.5,290.1,1921.7,108.8,indialantic,"indialantic, fl"
,,indian creek village,33425,12,187,Indian Creek Police Dept,FL,12,89.0,0.0,0,0.0,0,0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,1123.6,0.0,1123.6,0.0,indian creek,"indian creek, fl"
,,indian harbour beach city,33450,12,188,Indian Harbour Beach Police Dept,FL,12,8340.0,10.0,0,3.0,3,4,162.0,27,129.0,6,119.9,0.0,36.0,36.0,48.0,1942.4,323.7,1546.8,71.9,indian harbour beach,"indian harbour beach, fl"
indian river county,061,,,12,189,Indian River County Sheriff Department,FL,12,,319.0,1,15.0,38,265,2461.0,552,1838.0,71,,,,,,,,,,indian river county,"indian river county, fl"
,,indian river shores town,33600,12,190,Indian River Shores Public Safety Dept,FL,12,3978.0,1.0,0,0.0,0,1,20.0,4,16.0,0,25.1,0.0,0.0,0.0,25.1,502.8,100.6,402.2,0.0,indian river shores,"indian river shores, fl"
,,,,12,191,Indian Rocks Beach Pd,FL,12,4173.0,19.0,0,1.0,1,17,134.0,22,104.0,8,455.3,0.0,24.0,24.0,407.4,3211.1,527.2,2492.2,191.7,indian rocks beach pd,"indian rocks beach pd, fl"
,,indian shores town,33675,12,192,Indian Shores Police Dept,FL,12,1440.0,4.0,0,0.0,0,4,69.0,17,49.0,3,277.8,0.0,0.0,0.0,277.8,4791.7,1180.6,3402.8,208.3,indian shores,"indian shores, fl"
,,inglis town,33800,12,193,Inglis Police Dept,FL,12,1322.0,6.0,0,0.0,0,6,50.0,10,39.0,1,453.9,0.0,0.0,0.0,453.9,3782.1,756.4,2950.1,75.6,inglis,"inglis, fl"
,,interlachen town,33900,12,194,Interlachen Police Dept,FL,12,1415.0,7.0,0,0.0,0,7,79.0,26,52.0,1,494.7,0.0,0.0,0.0,494.7,5583.0,1837.5,3674.9,70.7,interlachen,"interlachen, fl"
jackson county,063,,,12,195,Jackson County Sheriff Department,FL,11,,2.0,0,0.0,0,2,6.0,2,4.0,0,,,,,,,,,,jackson county,"jackson county, fl"
jackson county,063,,,12,196,Jackson County Sheriff Department,FL,12,,137.0,0,13.0,12,112,590.0,162,406.0,22,,,,,,,,,,jackson county,"jackson county, fl"
,,jacksonville city,35000,12,197,Jacksonville,FL,12,840660.0,5189.0,93,341.0,1371,3384,34674.0,7632,25403.0,1639,617.3,11.1,40.6,163.1,402.5,4124.6,907.9,3021.8,195.0,jacksonville,"jacksonville, fl"
,,jacksonville beach city,35050,12,198,Jacksonville Beach Police Dept,FL,12,21817.0,196.0,1,11.0,43,141,1018.0,147,828.0,43,898.4,4.6,50.4,197.1,646.3,4666.1,673.8,3795.2,197.1,jacksonville beach,"jacksonville beach, fl"
,,jasper city,35375,12,199,Jasper Police Dept,FL,12,4590.0,6.0,0,0.0,1,5,61.0,27,34.0,0,130.7,0.0,0.0,21.8,108.9,1329.0,588.2,740.7,0.0,jasper,"jasper, fl"
jefferson county,065,,,12,200,Jefferson County Sheriff Department,FL,12,,148.0,1,22.0,11,114,2666.0,471,2083.0,112,,,,,,,,,,jefferson county,"jefferson county, fl"
jefferson county,065,,,12,201,Jefferson County Sheriff Department,FL,12,,70.0,0,3.0,4,63,140.0,76,58.0,6,,,,,,,,,,jefferson county,"jefferson county, fl"
,,jennings town,35525,12,202,Jennings Police Dept,FL,12,881.0,0.0,0,0.0,0,0,19.0,9,9.0,1,0.0,0.0,0.0,0.0,0.0,2156.6,1021.6,1021.6,113.5,jennings,"jennings, fl"
,,,,12,203,Johnstown Police Dept,FL,12,10259.0,7.0,0,0.0,0,7,88.0,9,72.0,7,68.2,0.0,0.0,0.0,68.2,857.8,87.7,701.8,68.2,johnstown,"johnstown, fl"
,,juno beach town,35850,12,204,Juno Beach Police Dept,FL,12,3257.0,9.0,0,1.0,1,7,76.0,11,63.0,2,276.3,0.0,30.7,30.7,214.9,2333.4,337.7,1934.3,61.4,juno beach,"juno beach, fl"
,,jupiter town,35875,12,205,Jupiter Police Dept,FL,12,56674.0,115.0,0,11.0,37,67,1196.0,235,918.0,43,202.9,0.0,19.4,65.3,118.2,2110.3,414.7,1619.8,75.9,jupiter,"jupiter, fl"
