Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,0,full_name,gid,subdomain,cost_exists,age_exists,cup_exists,county_fips,place_fips,state_fips,place,url,state,bls_code,unemployment,b01001001,b01001a001,b01001b001,b15002003,b15002004,b15002005,b15002006,b15002007,b15002008,b15002009,b15002010,b15002011,b15002012,b15002013,b15002014,b15002015,b15002016,b15002017,b15002018,b19013001,gid,place.1,region,counts,completeness,completeness_std,Cup_mean mean,Cup_mean std,Cost_hour_mean mean,Cost_hour_mean std,Age_mean mean,Age_mean std
Medford City Police Dept,OR,12,76037.0,425.0,2,39.0,64,320,4418.0,477,3764.0,177.0,558.9,2.6,51.3,84.2,420.8,5810.3,627.3,4950.2,232.8,medford city,"medford city,OR",16000US4147000,medford,0.13,0.02,0.14,,47000.0,41.0,Medford,medford,oregon,LAUCT414700000000003,9.216666666666667,75704.0,68693.0,,180.0,107.0,506.0,439.0,285.0,730.0,459.0,482.0,7529.0,2147.0,4278.0,1625.0,3828.0,1059.0,524.0,255.0,41589.0,16000US4147000,medford,medford,500.0,0.29,0.5389628576477675,-0.168,2.090098807724674,224.2478632478677,98.67818194273902,-0.43799999999999994,4.119720888652629
Allentown City Police Dept,PA,12,119334.0,653.0,15,54.0,374,210,4603.0,1248,2987.0,368.0,547.2,12.6,45.3,313.4,176.0,3857.2,1045.8,2503.1,308.4,allentown city,"allentown city,PA",16000US4202000,allentown,0.08575478384124734,0.041814316087880936,0.09284195605953224,,2000.0,42.0,Allentown,allentown,pennsylvania,LAUCT420200000000003,10.1,118587.0,78789.0,14823.0,535.0,425.0,615.0,1148.0,1049.0,1653.0,1948.0,1086.0,12265.0,1620.0,3677.0,2152.0,3412.0,1272.0,578.0,431.0,34289.0,16000US4202000,allentown,allentown,1411.0,0.22041105598866054,0.4707412003656044,-0.44011339475549255,1.7800489239146415,780.3133608815373,1853.4071897449426,0.050673281360737066,5.1453777963273115
Altoona City Police Dept,PA,12,46404.0,163.0,2,31.0,32,98,903.0,226,641.0,36.0,351.3,4.3,66.8,69.0,211.2,1946.0,487.0,1381.3,77.6,altoona city,"altoona city,PA",16000US4202184,altoona,0.05899705014749264,0.008849557522123894,0.02654867256637168,,2184.0,42.0,Altoona,altoona,pennsylvania,LAUCT420218400000003,7.175000000000002,46239.0,43098.0,,132.0,0.0,1.0,176.0,181.0,276.0,691.0,156.0,7567.0,953.0,1330.0,984.0,1748.0,425.0,165.0,74.0,35572.0,16000US4202184,altoona,altoona,339.0,0.0943952802359882,0.3123652421040141,-0.8200589970501475,1.1040854723420923,400.25,434.85262173704206,-0.7964601769911505,2.1572471446804418
Harrisburg City Police Dept,PA,12,49753.0,727.0,11,56.0,388,272,2426.0,613,1655.0,158.0,1461.2,22.1,112.6,779.9,546.7,4876.1,1232.1,3326.4,317.6,harrisburg city,"harrisburg city,PA",16000US4232800,harrisburg,0.14823815309842042,0.05589307411907655,0.1543134872417983,,32800.0,42.0,Harrisburg,harrisburg,pennsylvania,LAUCT423280000000003,9.308333333333332,49381.0,16734.0,25305.0,278.0,192.0,300.0,198.0,334.0,680.0,901.0,260.0,4295.0,606.0,1840.0,817.0,1819.0,639.0,421.0,148.0,33080.0,16000US4232800,harrisburg,harrisburg,823.0,0.3584447144592953,0.6153538428146833,-0.08383961117861483,2.1918936770562274,399.6200364298525,649.5035575904033,0.3487241798298906,5.609007805748704
Scranton City Police Dept,PA,12,76118.0,252.0,0,23.0,129,100,2553.0,641,1796.0,116.0,331.1,0.0,30.2,169.5,131.4,3354.0,842.1,2359.5,152.4,scranton city,"scranton city,PA",16000US4269000,scranton,0.16216216216216214,0.039575289575289566,0.10617760617760616,,69000.0,42.0,Scranton,scranton,pennsylvania,LAUCT426900000000003,9.249999999999998,75951.0,65584.0,4629.0,398.0,153.0,271.0,333.0,380.0,1004.0,694.0,322.0,8856.0,1217.0,2824.0,1453.0,3548.0,861.0,539.0,105.0,36149.0,16000US4269000,scranton,scranton,1036.0,0.3079150579150579,0.5704266532087315,-0.3923745173745174,1.820375753186584,941.4821428571248,1837.0832070411911,0.05984555984555984,5.330596179443638
York City Police Dept,PA,12,43955.0,587.0,11,44.0,189,343,1582.0,433,1050.0,99.0,1335.5,25.0,100.1,430.0,780.3,3599.1,985.1,2388.8,225.2,york city,"york city,PA",16000US4287048,york,0.14453781512605046,0.057142857142857134,0.07058823529411765,133.0,87048.0,42.0,York,york,pennsylvania,LAUCT428704800000003,11.233333333333334,43651.0,22372.0,12042.0,114.0,56.0,351.0,463.0,476.0,902.0,551.0,336.0,5959.0,403.0,944.0,568.0,886.0,285.0,58.0,53.0,29469.0,16000US4287048,york,york,595.0,0.2722689075630252,0.5220595657520787,-0.6403361344537815,1.3688649066342018,229.1414728682279,132.59933079668951,0.6957983193277311,7.16143096226375
Charleston City Police Dept,SC,12,123856.0,296.0,12,19.0,104,161,3373.0,374,2764.0,235.0,239.0,9.7,15.3,84.0,130.0,2723.3,302.0,2231.6,189.7,charleston city,"charleston city,SC",16000US4513330,charleston,0.1913793103448276,0.07931034482758621,0.12931034482758622,19.0,13330.0,45.0,Charleston,charleston,south carolina,LAUCT451333000000003,5.6000000000000005,123226.0,87467.0,31454.0,185.0,159.0,38.0,349.0,246.0,641.0,689.0,353.0,6693.0,1905.0,5185.0,2687.0,11660.0,3373.0,2125.0,1341.0,50602.0,16000US4513330,charleston,charleston,1740.0,0.4,0.6205230686009183,-0.28218390804597704,1.9277412020604785,189.16416416417297,201.4396542747621,1.2979885057471263,7.889028454734764
Aberdeen City Police Dept,SD,12,26593.0,69.0,0,23.0,1,45,507.0,88,392.0,27.0,259.5,0.0,86.5,3.8,169.2,1906.5,330.9,1474.1,101.5,aberdeen city,"aberdeen city,SD",16000US4600100,aberdeen-sd,,,,,100.0,46.0,Aberdeen,aberdeen-sd,south dakota,LAUCT460010000000003,3.441666666666667,26443.0,24230.0,,0.0,0.0,0.0,285.0,72.0,62.0,100.0,88.0,2940.0,437.0,1212.0,576.0,1469.0,202.0,210.0,88.0,47910.0,16000US4600100,aberdeen-sd,aberdeen-sd,,,,,,,,,
Pullman City Police Dept,WA,12,30206.0,29.0,0,5.0,3,21,230.0,60,166.0,4.0,96.0,0.0,16.6,9.9,69.5,761.4,198.6,549.6,13.2,pullman city,"pullman city,WA",16000US5356625,pullman,0.15625,0.006944444444444444,0.034722222222222224,,56625.0,53.0,Pullman,pullman,washington,LAUCT535662500000003,6.3500000000000005,30388.0,24071.0,,0.0,0.0,0.0,0.0,1.0,27.0,0.0,43.0,556.0,48.0,742.0,253.0,1888.0,897.0,160.0,906.0,23285.0,16000US5356625,pullman,pullman,288.0,0.19791666666666666,0.4561570653762615,-0.8020833333333334,1.0488399930449128,129.3481481481622,67.04344119940346,-0.8368055555555556,1.9553641587741413
Huntington City Police Dept,WV,12,49254.0,251.0,2,30.0,132,87,2944.0,1022,1783.0,139.0,509.6,4.1,60.9,268.0,176.6,5977.2,2075.0,3620.0,282.2,huntington city,"huntington city,WV",16000US5439460,huntington,0.05284552845528456,0.012195121951219513,0.05284552845528456,,39460.0,54.0,Huntington,huntington,west virginia,LAUCT543946000000003,6.191666666666666,49309.0,43221.0,3893.0,128.0,47.0,85.0,247.0,507.0,698.0,531.0,185.0,4642.0,1132.0,2495.0,631.0,2428.0,932.0,514.0,283.0,28201.0,16000US5439460,huntington,huntington,246.0,0.11788617886178862,0.3590310134577833,-0.6626016260162602,1.4498359301396404,251.79487179484616,55.36688047011918,-0.5609756097560976,3.9592750139561383
Madison City Police Dept,WI,12,237508.0,897.0,3,114.0,241,539,7753.0,1601,5898.0,254.0,377.7,1.3,48.0,101.5,226.9,3264.3,674.1,2483.3,106.9,madison city,"madison city,WI",16000US5548000,madison,0.15407673860911272,0.017985611510791366,0.1720623501199041,,48000.0,55.0,Madison,madison,wisconsin,LAUCT554800000000003,4.575,237136.0,189431.0,17978.0,529.0,186.0,327.0,433.0,220.0,460.0,922.0,557.0,11950.0,2949.0,9007.0,5339.0,20679.0,9955.0,3298.0,4597.0,52599.0,16000US5548000,madison,madison,1668.0,0.3441247002398082,0.5819069771805385,-0.011490807354118705,2.2314095734860397,200.18190661476967,75.9683176500908,-0.4898081534772182,3.88595881449918
